[berlin] 6000 crops, device=mps, epochs=96
[berlin] epoch 1/96 loss=9.3379 extract=3.3s
[berlin] epoch 2/96 loss=8.6064 extract=3.5s
[berlin] epoch 3/96 loss=8.1764 extract=3.2s
[berlin] epoch 4/96 loss=7.8433 extract=3.2s
[berlin] epoch 5/96 loss=7.5712 extract=3.3s
[berlin] epoch 6/96 loss=7.3462 extract=3.1s
[berlin] epoch 7/96 loss=7.1387 extract=3.2s
[berlin] epoch 8/96 loss=6.9402 extract=3.1s
[berlin] epoch 9/96 loss=6.7658 extract=3.1s
[berlin] epoch 10/96 loss=6.5880 extract=3.3s
[berlin] epoch 11/96 loss=6.4670 extract=3.1s
[berlin] epoch 12/96 loss=6.3172 extract=3.1s
[berlin] epoch 13/96 loss=6.1745 extract=3.4s
[berlin] epoch 14/96 loss=6.0563 extract=3.2s
[berlin] epoch 15/96 loss=5.9281 extract=3.1s
[berlin] epoch 16/96 loss=5.8272 extract=3.2s
[berlin] epoch 17/96 loss=5.6917 extract=3.2s
[berlin] epoch 18/96 loss=5.6300 extract=3.2s
[berlin] epoch 19/96 loss=5.5202 extract=3.1s
[berlin] epoch 20/96 loss=5.4246 extract=3.2s
[berlin] epoch 21/96 loss=5.3397 extract=3.4s
[berlin] epoch 22/96 loss=5.2708 extract=3.7s
[berlin] epoch 23/96 loss=5.1735 extract=3.2s
[berlin] epoch 24/96 loss=5.0982 extract=3.2s
[berlin] epoch 25/96 loss=5.0582 extract=3.1s
[berlin] epoch 26/96 loss=4.9895 extract=3.2s
[berlin] epoch 27/96 loss=4.9142 extract=3.1s
[berlin] epoch 28/96 loss=4.8713 extract=3.2s
[berlin] epoch 29/96 loss=4.8043 extract=3.1s
[berlin] epoch 30/96 loss=4.8195 extract=3.1s
[berlin] epoch 31/96 loss=4.7290 extract=3.1s
[berlin] epoch 32/96 loss=4.6553 extract=3.1s
[berlin] epoch 33/96 loss=4.6290 extract=3.1s
[berlin] epoch 34/96 loss=4.6013 extract=3.1s
[berlin] epoch 35/96 loss=4.5831 extract=3.1s
[berlin] epoch 36/96 loss=4.5296 extract=3.3s
[berlin] epoch 37/96 loss=4.5102 extract=3.1s
[berlin] epoch 38/96 loss=4.4765 extract=3.1s
[berlin] epoch 39/96 loss=4.4279 extract=3.1s
[berlin] epoch 40/96 loss=4.4162 extract=3.4s
[berlin] epoch 41/96 loss=4.3999 extract=3.1s
[berlin] epoch 42/96 loss=4.3833 extract=3.2s
[berlin] epoch 43/96 loss=4.3431 extract=3.1s
[berlin] epoch 44/96 loss=4.3190 extract=3.1s
[berlin] epoch 45/96 loss=4.2855 extract=3.1s
[berlin] epoch 46/96 loss=4.2912 extract=3.1s
[berlin] epoch 47/96 loss=4.2579 extract=3.1s
[berlin] epoch 48/96 loss=4.2405 extract=3.1s
[berlin] epoch 49/96 loss=4.2084 extract=3.4s
[berlin] epoch 50/96 loss=4.1933 extract=3.1s
[berlin] epoch 51/96 loss=4.1762 extract=3.1s
[berlin] epoch 52/96 loss=4.1671 extract=3.1s
[berlin] epoch 53/96 loss=4.1252 extract=3.1s
[berlin] epoch 54/96 loss=4.1002 extract=3.1s
[berlin] epoch 55/96 loss=4.1165 extract=3.1s
[berlin] epoch 56/96 loss=4.0815 extract=3.1s
[berlin] epoch 57/96 loss=4.0710 extract=3.1s
[berlin] epoch 58/96 loss=4.0710 extract=3.1s
[berlin] epoch 59/96 loss=4.0427 extract=3.1s
[berlin] epoch 60/96 loss=4.0221 extract=3.1s
[berlin] epoch 61/96 loss=4.0322 extract=3.1s
[berlin] epoch 62/96 loss=4.0320 extract=3.1s
[berlin] epoch 63/96 loss=4.0107 extract=3.1s
[berlin] epoch 64/96 loss=4.0121 extract=3.1s
[berlin] epoch 65/96 loss=3.9690 extract=3.1s
[berlin] epoch 66/96 loss=3.9595 extract=3.1s
[berlin] epoch 67/96 loss=3.9670 extract=3.1s
[berlin] epoch 68/96 loss=3.9429 extract=3.1s
[berlin] epoch 69/96 loss=3.9480 extract=3.2s
[berlin] epoch 70/96 loss=3.9511 extract=3.1s
[berlin] epoch 71/96 loss=3.9364 extract=3.2s
[berlin] epoch 72/96 loss=3.9244 extract=3.1s
[berlin] epoch 73/96 loss=3.9212 extract=3.1s
[berlin] epoch 74/96 loss=3.9103 extract=3.1s
[berlin] epoch 75/96 loss=3.9124 extract=3.1s
[berlin] epoch 76/96 loss=3.9035 extract=3.1s
[berlin] epoch 77/96 loss=3.8896 extract=3.1s
[berlin] epoch 78/96 loss=3.8890 extract=3.1s
[berlin] epoch 79/96 loss=3.8843 extract=3.1s
[berlin] epoch 80/96 loss=3.8827 extract=3.1s
[berlin] epoch 81/96 loss=3.8725 extract=3.1s
[berlin] epoch 82/96 loss=3.8796 extract=3.1s
[berlin] epoch 83/96 loss=3.8723 extract=3.1s
[berlin] epoch 84/96 loss=3.8636 extract=3.1s
[berlin] epoch 85/96 loss=3.8740 extract=3.1s
[berlin] epoch 86/96 loss=3.8781 extract=3.1s
[berlin] epoch 87/96 loss=3.8669 extract=3.1s
[berlin] epoch 88/96 loss=3.8675 extract=3.1s
[berlin] epoch 89/96 loss=3.8552 extract=3.1s
[berlin] epoch 90/96 loss=3.8538 extract=3.1s
[berlin] epoch 91/96 loss=3.8526 extract=3.1s
[berlin] epoch 92/96 loss=3.8484 extract=3.1s
[berlin] epoch 93/96 loss=3.8493 extract=3.1s
[berlin] epoch 94/96 loss=3.8534 extract=3.1s
[berlin] epoch 95/96 loss=3.8493 extract=3.1s
[berlin] epoch 96/96 loss=3.8460 extract=3.1s
{"area": "berlin", "n_train_crops": 6000, "epochs": 96, "harness_epochs": 8, "epoch_mult": 12, "device": "mps", "train_seconds": 598.6, "onnx_bytes": 2539641, "init": "from-scratch"}
